"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","","Median market income","Lone-parent families","Dollars","81","units ","0","v92044789","1.8.17","32200","C","","","0"
"2012","Canada","","Median market income","Male lone-parent families","Dollars","81","units ","0","v92044790","1.8.18","58200","C","","","0"
"2012","Canada","","Median market income","Female lone-parent families","Dollars","81","units ","0","v92044791","1.8.19","25000","D","","","0"
"2012","Canada","","Median market income","Other non-elderly families","Dollars","81","units ","0","v92044792","1.8.23","64400","B","","","0"
"2012","Canada","","Median market income","Unattached individuals","Dollars","81","units ","0","v92044793","1.8.24","22400","B","","","0"
"2012","Canada","","Median market income","Elderly males","Dollars","81","units ","0","v92044794","1.8.25","12000","D","","","0"
"2012","Canada","","Median market income","Elderly females","Dollars","81","units ","0","v92044795","1.8.28","8400","C","","","0"
"2012","Canada","","Median market income","Non-elderly males","Dollars","81","units ","0","v92044796","1.8.31","32000","B","","","0"
"2012","Canada","","Median market income","Non-elderly females","Dollars","81","units ","0","v92044797","1.8.34","26100","C","","","0"
"2012","Canada","","Average government transfers","All family units","Dollars","81","units ","0","v92044798","1.2.1","9500","A","","","0"
"2012","Canada","","Average government transfers","Economic families, two persons or more","Dollars","81","units ","0","v92044799","1.2.2","11100","A","","","0"
"2012","Canada","","Average government transfers","Elderly families","Dollars","81","units ","0","v92044800","1.2.3","25700","A","","","0"
"2012","Canada","","Average government transfers","Elderly married couples","Dollars","81","units ","0","v92044801","1.2.4","25400","A","","","0"
"2012","Canada","","Average government transfers","Other elderly families","Dollars","81","units ","0","v92044802","1.2.5","26700","B","","","0"
"2012","Canada","","Average government transfers","Non-elderly families","Dollars","81","units ","0","v92044803","1.2.6","7900","A","","","0"
"2012","Canada","","Average government transfers","Married couples","Dollars","81","units ","0","v92044804","1.2.7","5000","B","","","0"
"2012","Canada","","Average government transfers","Two-parent families with children","Dollars","81","units ","0","v92044805","1.2.11","8500","B","","","0"
"2012","Canada","","Average government transfers","Married couples with other relatives","Dollars","81","units ","0","v92044806","1.2.16","7800","C","","","0"
"2012","Canada","","Average government transfers","Lone-parent families","Dollars","81","units ","0","v92044807","1.2.17","11500","B","","","0"
"2012","Canada","","Average government transfers","Male lone-parent families","Dollars","81","units ","0","v92044808","1.2.18","7600","D","","","0"
"2012","Canada","","Average government transfers","Female lone-parent families","Dollars","81","units ","0","v92044809","1.2.19","12500","B","","","0"
"2012","Canada","","Average government transfers","Other non-elderly families","Dollars","81","units ","0","v92044810","1.2.23","11000","C","","","0"
"2012","Canada","","Average government transfers","Unattached individuals","Dollars","81","units ","0","v92044811","1.2.24","6600","A","","","0"
"2012","Canada","","Average government transfers","Elderly males","Dollars","81","units ","0","v92044812","1.2.25","16400","A","","","0"
"2012","Canada","","Average government transfers","Elderly females","Dollars","81","units ","0","v92044813","1.2.28","16400","A","","","0"
"2012","Canada","","Average government transfers","Non-elderly males","Dollars","81","units ","0","v92044814","1.2.31","3100","C","","","0"
"2012","Canada","","Average government transfers","Non-elderly females","Dollars","81","units ","0","v92044815","1.2.34","3200","C","","","0"
"2012","Canada","","Median government transfers","All family units","Dollars","81","units ","0","v92044816","1.9.1","5200","B","","","0"
"2012","Canada","","Median government transfers","Economic families, two persons or more","Dollars","81","units ","0","v92044817","1.9.2","6800","B","","","0"
"2012","Canada","","Median government transfers","Elderly families","Dollars","81","units ","0","v92044818","1.9.3","26000","A","","","0"
"2012","Canada","","Median government transfers","Elderly married couples","Dollars","81","units ","0","v92044819","1.9.4","26000","A","","","0"
"2012","Canada","","Median government transfers","Other elderly families","Dollars","81","units ","0","v92044820","1.9.5","26400","B","","","0"
"2012","Canada","","Median government transfers","Non-elderly families","Dollars","81","units ","0","v92044821","1.9.6","3500","B","","","0"
"2012","Canada","","Median government transfers","Married couples","Dollars","81","units ","0","v92044822","1.9.7","600","E","","","0"
"2012","Canada","","Median government transfers","Two-parent families with children","Dollars","81","units ","0","v92044823","1.9.11","4300","C","","","0"
"2012","Canada","","Median government transfers","Married couples with other relatives","Dollars","81","units ","0","v92044824","1.9.16","2700","D","","","0"
"2012","Canada","","Median government transfers","Lone-parent families","Dollars","81","units ","0","v92044825","1.9.17","9200","C","","","0"
"2012","Canada","","Median government transfers","Male lone-parent families","Dollars","81","units ","0","v92044826","1.9.18","4100","E","","","0"
"2012","Canada","","Median government transfers","Female lone-parent families","Dollars","81","units ","0","v92044827","1.9.19","10300","C","","","0"
"2012","Canada","","Median government transfers","Other non-elderly families","Dollars","81","units ","0","v92044828","1.9.23","6600","D","","","0"
"2012","Canada","","Median government transfers","Unattached individuals","Dollars","81","units ","0","v92044829","1.9.24","1500","D","","","0"
"2012","Canada","","Median government transfers","Elderly males","Dollars","81","units ","0","v92044830","1.9.25","16700","A","","","0"
"2012","Canada","","Median government transfers","Elderly females","Dollars","81","units ","0","v92044831","1.9.28","16800","A","","","0"
"2012","Canada","","Median government transfers","Non-elderly males","Dollars","81","units ","0","v92044832","1.9.31","600","C","","","0"
"2012","Canada","","Median government transfers","Non-elderly females","Dollars","81","units ","0","v92044833","1.9.34","700","C","","","0"
"2012","Canada","","Average total income","All family units","Dollars","81","units ","0","v92044834","1.3.1","77800","A","","","0"
"2012","Canada","","Average total income","Economic families, two persons or more","Dollars","81","units ","0","v92044835","1.3.2","99100","A","","","0"
"2012","Canada","","Average total income","Elderly families","Dollars","81","units ","0","v92044836","1.3.3","74100","B","","","0"
"2012","Canada","","Average total income","Elderly married couples","Dollars","81","units ","0","v92044837","1.3.4","71000","B","","","0"
"2012","Canada","","Average total income","Other elderly families","Dollars","81","units ","0","v92044838","1.3.5","84900","D","","","0"
"2012","Canada","","Average total income","Non-elderly families","Dollars","81","units ","0","v92044839","1.3.6","104500","A","","","0"
"2012","Canada","","Average total income","Married couples","Dollars","81","units ","0","v92044840","1.3.7","95600","A","","","0"
"2012","Canada","","Average total income","Two-parent families with children","Dollars","81","units ","0","v92044841","1.3.11","115600","A","","","0"
"2012","Canada","","Average total income","Married couples with other relatives","Dollars","81","units ","0","v92044842","1.3.16","141900","B","","","0"
"2012","Canada","","Average total income","Lone-parent families","Dollars","81","units ","0","v92044843","1.3.17","52900","B","","","0"
"2012","Canada","","Average total income","Male lone-parent families","Dollars","81","units ","0","v92044844","1.3.18","69100","C","","","0"
"2012","Canada","","Average total income","Female lone-parent families","Dollars","81","units ","0","v92044845","1.3.19","48600","C","","","0"
"2012","Canada","","Average total income","Other non-elderly families","Dollars","81","units ","0","v92044846","1.3.23","82500","B","","","0"
"2012","Canada","","Average total income","Unattached individuals","Dollars","81","units ","0","v92044847","1.3.24","38000","A","","","0"
"2012","Canada","","Average total income","Elderly males","Dollars","81","units ","0","v92044848","1.3.25","39400","C","","","0"
"2012","Canada","","Average total income","Elderly females","Dollars","81","units ","0","v92044849","1.3.28","33000","B","","","0"
"2012","Canada","","Average total income","Non-elderly males","Dollars","81","units ","0","v92044850","1.3.31","41600","B","","","0"
"2012","Canada","","Average total income","Non-elderly females","Dollars","81","units ","0","v92044851","1.3.34","35700","B","","","0"
"2012","Canada","","Median total income","All family units","Dollars","81","units ","0","v92044852","1.10.1","59700","A","","","0"
"2012","Canada","","Median total income","Economic families, two persons or more","Dollars","81","units ","0","v92044853","1.10.2","82100","A","","","0"
"2012","Canada","","Median total income","Elderly families","Dollars","81","units ","0","v92044854","1.10.3","55800","A","","","0"
"2012","Canada","","Median total income","Elderly married couples","Dollars","81","units ","0","v92044855","1.10.4","55200","A","","","0"
"2012","Canada","","Median total income","Other elderly families","Dollars","81","units ","0","v92044856","1.10.5","58200","C","","","0"
"2012","Canada","","Median total income","Non-elderly families","Dollars","81","units ","0","v92044857","1.10.6","89100","A","","","0"
"2012","Canada","","Median total income","Married couples","Dollars","81","units ","0","v92044858","1.10.7","82700","A","","","0"
"2012","Canada","","Median total income","Two-parent families with children","Dollars","81","units ","0","v92044859","1.10.11","98700","A","","","0"
"2012","Canada","","Median total income","Married couples with other relatives","Dollars","81","units ","0","v92044860","1.10.16","127900","A","","","0"
"2012","Canada","","Median total income","Lone-parent families","Dollars","81","units ","0","v92044861","1.10.17","43800","B","","","0"
"2012","Canada","","Median total income","Male lone-parent families","Dollars","81","units ","0","v92044862","1.10.18","62800","C","","","0"
"2012","Canada","","Median total income","Female lone-parent families","Dollars","81","units ","0","v92044863","1.10.19","39600","C","","","0"
"2012","Canada","","Median total income","Other non-elderly families","Dollars","81","units ","0","v92044864","1.10.23","73500","B","","","0"
"2012","Canada","","Median total income","Unattached individuals","Dollars","81","units ","0","v92044865","1.10.24","29800","A","","","0"
"2012","Canada","","Median total income","Elderly males","Dollars","81","units ","0","v92044866","1.10.25","28400","C","","","0"
"2012","Canada","","Median total income","Elderly females","Dollars","81","units ","0","v92044867","1.10.28","24600","B","","","0"
"2012","Canada","","Median total income","Non-elderly males","Dollars","81","units ","0","v92044868","1.10.31","34800","B","","","0"
"2012","Canada","","Median total income","Non-elderly females","Dollars","81","units ","0","v92044869","1.10.34","28400","B","","","0"
"2012","Canada","","Average income tax","All family units","Dollars","81","units ","0","v92044870","1.4.1","12400","A","","","0"
"2012","Canada","","Average income tax","Economic families, two persons or more","Dollars","81","units ","0","v92044871","1.4.2","16000","A","","","0"
"2012","Canada","","Average income tax","Elderly families","Dollars","81","units ","0","v92044872","1.4.3","9700","D","","","0"
"2012","Canada","","Average income tax","Elderly married couples","Dollars","81","units ","0","v92044873","1.4.4","9000","D","","","0"
"2012","Canada","","Average income tax","Other elderly families","Dollars","81","units ","0","v92044874","1.4.5","12200","E","","","0"
"2012","Canada","","Average income tax","Non-elderly families","Dollars","81","units ","0","v92044875","1.4.6","17400","A","","","0"
"2012","Canada","","Average income tax","Married couples","Dollars","81","units ","0","v92044876","1.4.7","17000","B","","","0"
"2012","Canada","","Average income tax","Two-parent families with children","Dollars","81","units ","0","v92044877","1.4.11","20100","B","","","0"
"2012","Canada","","Average income tax","Married couples with other relatives","Dollars","81","units ","0","v92044878","1.4.16","23800","B","","","0"
"2012","Canada","","Average income tax","Lone-parent families","Dollars","81","units ","0","v92044879","1.4.17","5600","D","","","0"
"2012","Canada","","Average income tax","Male lone-parent families","Dollars","81","units ","0","v92044880","1.4.18","11000","D","","","0"
"2012","Canada","","Average income tax","Female lone-parent families","Dollars","81","units ","0","v92044881","1.4.19","4100","E","","","0"
"2012","Canada","","Average income tax","Other non-elderly families","Dollars","81","units ","0","v92044882","1.4.23","10300","B","","","0"
"2012","Canada","","Average income tax","Unattached individuals","Dollars","81","units ","0","v92044883","1.4.24","5600","B","","","0"
"2012","Canada","","Average income tax","Elderly males","Dollars","81","units ","0","v92044884","1.4.25","5000","E","","","0"
"2012","Canada","","Average income tax","Elderly females","Dollars","81","units ","0","v92044885","1.4.28","3100","C","","","0"
"2012","Canada","","Average income tax","Non-elderly males","Dollars","81","units ","0","v92044886","1.4.31","7000","B","","","0"
"2012","Canada","","Average income tax","Non-elderly females","Dollars","81","units ","0","v92044887","1.4.34","5100","C","","","0"
"2012","Canada","","Median income tax","All family units","Dollars","81","units ","0","v92044888","1.11.1","6200","A","","","0"
"2012","Canada","","Median income tax","Economic families, two persons or more","Dollars","81","units ","0","v92044889","1.11.2","9700","A","","","0"
"2012","Canada","","Median income tax","Elderly families","Dollars","81","units ","0","v92044890","1.11.3","3200","C","","","0"
"2012","Canada","","Median income tax","Elderly married couples","Dollars","81","units ","0","v92044891","1.11.4","3200","C","","","0"
"2012","Canada","","Median income tax","Other elderly families","Dollars","81","units ","0","v92044892","1.11.5","3000","E","","","0"
"2012","Canada","","Median income tax","Non-elderly families","Dollars","81","units ","0","v92044893","1.11.6","11600","A","","","0"
"2012","Canada","","Median income tax","Married couples","Dollars","81","units ","0","v92044894","1.11.7","11700","B","","","0"
"2012","Canada","","Median income tax","Two-parent families with children","Dollars","81","units ","0","v92044895","1.11.11","13500","B","","","0"
"2012","Canada","","Median income tax","Married couples with other relatives","Dollars","81","units ","0","v92044896","1.11.16","17600","B","","","0"
"2012","Canada","","Median income tax","Lone-parent families","Dollars","81","units ","0","v92044897","1.11.17","","F","","","0"
"2012","Canada","","Median income tax","Male lone-parent families","Dollars","81","units ","0","v92044898","1.11.18","7700","D","","","0"
"2012","Canada","","Median income tax","Female lone-parent families","Dollars","81","units ","0","v92044899","1.11.19","","F","","","0"
"2012","Canada","","Median income tax","Other non-elderly families","Dollars","81","units ","0","v92044900","1.11.23","7300","C","","","0"
"2012","Canada","","Median income tax","Unattached individuals","Dollars","81","units ","0","v92044901","1.11.24","2100","C","","","0"
"2012","Canada","","Median income tax","Elderly males","Dollars","81","units ","0","v92044902","1.11.25","1000","E","","","0"
"2012","Canada","","Median income tax","Elderly females","Dollars","81","units ","0","v92044903","1.11.28","300","E","","","0"
"2012","Canada","","Median income tax","Non-elderly males","Dollars","81","units ","0","v92044904","1.11.31","3700","C","","","0"
"2012","Canada","","Median income tax","Non-elderly females","Dollars","81","units ","0","v92044905","1.11.34","2200","D","","","0"
"2012","Canada","","Average after-tax income","All family units","Dollars","81","units ","0","v92044906","1.5.1","65400","A","","","0"
"2012","Canada","","Average after-tax income","Economic families, two persons or more","Dollars","81","units ","0","v92044907","1.5.2","83100","A","","","0"
"2012","Canada","","Average after-tax income","Elderly families","Dollars","81","units ","0","v92044908","1.5.3","64400","B","","","0"
"2012","Canada","","Average after-tax income","Elderly married couples","Dollars","81","units ","0","v92044909","1.5.4","62100","B","","","0"
"2012","Canada","","Average after-tax income","Other elderly families","Dollars","81","units ","0","v92044910","1.5.5","72700","C","","","0"
"2012","Canada","","Average after-tax income","Non-elderly families","Dollars","81","units ","0","v92044911","1.5.6","87100","A","","","0"
"2012","Canada","","Average after-tax income","Married couples","Dollars","81","units ","0","v92044912","1.5.7","78600","A","","","0"
"2012","Canada","","Average after-tax income","Two-parent families with children","Dollars","81","units ","0","v92044913","1.5.11","95500","A","","","0"
"2012","Canada","","Average after-tax income","Married couples with other relatives","Dollars","81","units ","0","v92044914","1.5.16","118100","A","","","0"
"2012","Canada","","Average after-tax income","Lone-parent families","Dollars","81","units ","0","v92044915","1.5.17","47300","B","","","0"
"2012","Canada","","Average after-tax income","Male lone-parent families","Dollars","81","units ","0","v92044916","1.5.18","58100","C","","","0"
"2012","Canada","","Average after-tax income","Female lone-parent families","Dollars","81","units ","0","v92044917","1.5.19","44400","B","","","0"
"2012","Canada","","Average after-tax income","Other non-elderly families","Dollars","81","units ","0","v92044918","1.5.23","72200","A","","","0"
"2012","Canada","","Average after-tax income","Unattached individuals","Dollars","81","units ","0","v92044919","1.5.24","32400","A","","","0"
"2012","Canada","","Average after-tax income","Elderly males","Dollars","81","units ","0","v92044920","1.5.25","34300","C","","","0"
"2012","Canada","","Average after-tax income","Elderly females","Dollars","81","units ","0","v92044921","1.5.28","29900","B","","","0"
"2012","Canada","","Average after-tax income","Non-elderly males","Dollars","81","units ","0","v92044922","1.5.31","34600","A","","","0"
"2012","Canada","","Average after-tax income","Non-elderly females","Dollars","81","units ","0","v92044923","1.5.34","30500","B","","","0"
"2012","Canada","","Median after-tax income","All family units","Dollars","81","units ","0","v92044924","1.12.1","53000","A","","","0"
"2012","Canada","","Median after-tax income","Economic families, two persons or more","Dollars","81","units ","0","v92044925","1.12.2","71700","A","","","0"
"2012","Canada","","Median after-tax income","Elderly families","Dollars","81","units ","0","v92044926","1.12.3","52300","A","","","0"
"2012","Canada","","Median after-tax income","Elderly married couples","Dollars","81","units ","0","v92044927","1.12.4","51800","A","","","0"
"2012","Canada","","Median after-tax income","Other elderly families","Dollars","81","units ","0","v92044928","1.12.5","56200","C","","","0"
"2012","Canada","","Median after-tax income","Non-elderly families","Dollars","81","units ","0","v92044929","1.12.6","76900","A","","","0"
"2012","Canada","","Median after-tax income","Married couples","Dollars","81","units ","0","v92044930","1.12.7","70400","A","","","0"
"2012","Canada","","Median after-tax income","Two-parent families with children","Dollars","81","units ","0","v92044931","1.12.11","84600","A","","","0"
"2012","Canada","","Median after-tax income","Married couples with other relatives","Dollars","81","units ","0","v92044932","1.12.16","109900","A","","","0"
"2012","Canada","","Median after-tax income","Lone-parent families","Dollars","81","units ","0","v92044933","1.12.17","42200","B","","","0"
"2012","Canada","","Median after-tax income","Male lone-parent families","Dollars","81","units ","0","v92044934","1.12.18","53600","B","","","0"
"2012","Canada","","Median after-tax income","Female lone-parent families","Dollars","81","units ","0","v92044935","1.12.19","39100","B","","","0"
"2012","Canada","","Median after-tax income","Other non-elderly families","Dollars","81","units ","0","v92044936","1.12.23","66600","B","","","0"
"2012","Canada","","Median after-tax income","Unattached individuals","Dollars","81","units ","0","v92044937","1.12.24","27300","A","","","0"
"2012","Canada","","Median after-tax income","Elderly males","Dollars","81","units ","0","v92044938","1.12.25","26900","C","","","0"
"2012","Canada","","Median after-tax income","Elderly females","Dollars","81","units ","0","v92044939","1.12.28","23900","A","","","0"
"2012","Canada","","Median after-tax income","Non-elderly males","Dollars","81","units ","0","v92044940","1.12.31","30700","B","","","0"
"2012","Canada","","Median after-tax income","Non-elderly females","Dollars","81","units ","0","v92044941","1.12.34","26300","B","","","0"
"2012","Canada","","Implicit government transfer rate","All family units","Percent","239","units ","0","v92044942","1.6.1","12.2","A","","","1"
"2012","Canada","","Implicit government transfer rate","Economic families, two persons or more","Percent","239","units ","0","v92044943","1.6.2","11.2","A","","","1"
"2012","Canada","","Implicit government transfer rate","Elderly families","Percent","239","units ","0","v92044944","1.6.3","34.7","B","","","1"
"2012","Canada","","Implicit government transfer rate","Elderly married couples","Percent","239","units ","0","v92044945","1.6.4","35.8","B","","","1"
"2012","Canada","","Implicit government transfer rate","Other elderly families","Percent","239","units ","0","v92044946","1.6.5","31.4","D","","","1"
"2012","Canada","","Implicit government transfer rate","Non-elderly families","Percent","239","units ","0","v92044947","1.6.6","7.6","A","","","1"
"2012","Canada","","Implicit government transfer rate","Married couples","Percent","239","units ","0","v92044948","1.6.7","5.3","B","","","1"
"2012","Canada","","Implicit government transfer rate","Two-parent families with children","Percent","239","units ","0","v92044949","1.6.11","7.3","B","","","1"
"2012","Canada","","Implicit government transfer rate","Married couples with other relatives","Percent","239","units ","0","v92044950","1.6.16","5.5","C","","","1"
"2012","Canada","","Implicit government transfer rate","Lone-parent families","Percent","239","units ","0","v92044951","1.6.17","21.7","C","","","1"
"2012","Canada","","Implicit government transfer rate","Male lone-parent families","Percent","239","units ","0","v92044952","1.6.18","11.0","D","","","1"
"2012","Canada","","Implicit government transfer rate","Female lone-parent families","Percent","239","units ","0","v92044953","1.6.19","25.7","C","","","1"
"2012","Canada","","Implicit government transfer rate","Other non-elderly families","Percent","239","units ","0","v92044954","1.6.23","13.3","C","","","1"
"2012","Canada","","Implicit government transfer rate","Unattached individuals","Percent","239","units ","0","v92044955","1.6.24","17.4","B","","","1"
"2012","Canada","","Implicit government transfer rate","Elderly males","Percent","239","units ","0","v92044956","1.6.25","41.6","C","","","1"
"2012","Canada","","Implicit government transfer rate","Elderly females","Percent","239","units ","0","v92044957","1.6.28","49.8","B","","","1"
"2012","Canada","","Implicit government transfer rate","Non-elderly males","Percent","239","units ","0","v92044958","1.6.31","7.4","C","","","1"
"2012","Canada","","Implicit government transfer rate","Non-elderly females","Percent","239","units ","0","v92044959","1.6.34","9.0","C","","","1"
"2012","Canada","","Implicit income tax rate","All family units","Percent","239","units ","0","v92044960","1.7.1","15.9","A","","","1"
"2012","Canada","","Implicit income tax rate","Economic families, two persons or more","Percent","239","units ","0","v92044961","1.7.2","16.2","A","","","1"
"2012","Canada","","Implicit income tax rate","Elderly families","Percent","239","units ","0","v92044962","1.7.3","13.1","C","","","1"
"2012","Canada","","Implicit income tax rate","Elderly married couples","Percent","239","units ","0","v92044963","1.7.4","12.6","C","","","1"
"2012","Canada","","Implicit income tax rate","Other elderly families","Percent","239","units ","0","v92044964","1.7.5","14.4","E","","","1"
"2012","Canada","","Implicit income tax rate","Non-elderly families","Percent","239","units ","0","v92044965","1.7.6","16.6","A","","","1"
"2012","Canada","","Implicit income tax rate","Married couples","Percent","239","units ","0","v92044966","1.7.7","17.8","A","","","1"
"2012","Canada","","Implicit income tax rate","Two-parent families with children","Percent","239","units ","0","v92044967","1.7.11","17.4","A","","","1"
"2012","Canada","","Implicit income tax rate","Married couples with other relatives","Percent","239","units ","0","v92044968","1.7.16","16.8","A","","","1"
"2012","Canada","","Implicit income tax rate","Lone-parent families","Percent","239","units ","0","v92044969","1.7.17","10.5","D","","","1"
"2012","Canada","","Implicit income tax rate","Male lone-parent families","Percent","239","units ","0","v92044970","1.7.18","15.9","C","","","1"
"2012","Canada","","Implicit income tax rate","Female lone-parent families","Percent","239","units ","0","v92044971","1.7.19","8.5","E","","","1"
"2012","Canada","","Implicit income tax rate","Other non-elderly families","Percent","239","units ","0","v92044972","1.7.23","12.5","B","","","1"
"2012","Canada","","Implicit income tax rate","Unattached individuals","Percent","239","units ","0","v92044973","1.7.24","14.6","A","","","1"
"2012","Canada","","Implicit income tax rate","Elderly males","Percent","239","units ","0","v92044974","1.7.25","12.8","D","","","1"
"2012","Canada","","Implicit income tax rate","Elderly females","Percent","239","units ","0","v92044975","1.7.28","9.5","C","","","1"
"2012","Canada","","Implicit income tax rate","Non-elderly males","Percent","239","units ","0","v92044976","1.7.31","16.9","B","","","1"
"2012","Canada","","Implicit income tax rate","Non-elderly females","Percent","239","units ","0","v92044977","1.7.34","14.4","B","","","1"
"2012","Atlantic provinces","","Average market income","All family units","Dollars","81","units ","0","v92044978","2.1.1","56000","A","","","0"
"2012","Atlantic provinces","","Average market income","Economic families, two persons or more","Dollars","81","units ","0","v92044979","2.1.2","71100","A","","","0"
"2012","Atlantic provinces","","Average market income","Elderly families","Dollars","81","units ","0","v92044980","2.1.3","35400","C","","","0"
"2012","Atlantic provinces","","Average market income","Elderly married couples","Dollars","81","units ","0","v92044981","2.1.4","32900","C","","","0"
"2012","Atlantic provinces","","Average market income","Other elderly families","Dollars","81","units ","0","v92044982","2.1.5","44600","D","","","0"
"2012","Atlantic provinces","","Average market income","Non-elderly families","Dollars","81","units ","0","v92044983","2.1.6","80000","A","","","0"
"2012","Atlantic provinces","","Average market income","Married couples","Dollars","81","units ","0","v92044984","2.1.7","73100","B","","","0"
"2012","Atlantic provinces","","Average market income","Two-parent families with children","Dollars","81","units ","0","v92044985","2.1.11","93600","B","","","0"
"2012","Atlantic provinces","","Average market income","Married couples with other relatives","Dollars","81","units ","0","v92044986","2.1.16","115800","C","","","0"
"2012","Atlantic provinces","","Average market income","Lone-parent families","Dollars","81","units ","0","v92044987","2.1.17","30100","D","","","0"
"2012","Atlantic provinces","","Average market income","Male lone-parent families","Dollars","81","units ","0","v92044988","2.1.18","52200","D","","","0"
"2012","Atlantic provinces","","Average market income","Female lone-parent families","Dollars","81","units ","0","v92044989","2.1.19","24500","D","","","0"
"2012","Atlantic provinces","","Average market income","Other non-elderly families","Dollars","81","units ","0","v92044990","2.1.23","59600","C","","","0"
"2012","Atlantic provinces","","Average market income","Unattached individuals","Dollars","81","units ","0","v92044991","2.1.24","25900","B","","","0"
"2012","Atlantic provinces","","Average market income","Elderly males","Dollars","81","units ","0","v92044992","2.1.25","16100","D","","","0"
"2012","Atlantic provinces","","Average market income","Elderly females","Dollars","81","units ","0","v92044993","2.1.28","12800","D","","","0"
"2012","Atlantic provinces","","Average market income","Non-elderly males","Dollars","81","units ","0","v92044994","2.1.31","32600","C","","","0"
"2012","Atlantic provinces","","Average market income","Non-elderly females","Dollars","81","units ","0","v92044995","2.1.34","30200","C","","","0"
"2012","Atlantic provinces","","Median market income","All family units","Dollars","81","units ","0","v92044996","2.8.1","40200","B","","","0"
"2012","Atlantic provinces","","Median market income","Economic families, two persons or more","Dollars","81","units ","0","v92044997","2.8.2","57800","A","","","0"
"2012","Atlantic provinces","","Median market income","Elderly families","Dollars","81","units ","0","v92044998","2.8.3","22700","D","","","0"
"2012","Atlantic provinces","","Median market income","Elderly married couples","Dollars","81","units ","0","v92044999","2.8.4","21300","D","","","0"
"2012","Atlantic provinces","","Median market income","Other elderly families","Dollars","81","units ","0","v92045000","2.8.5","28900","E","","","0"
"2012","Atlantic provinces","","Median market income","Non-elderly families","Dollars","81","units ","0","v92045001","2.8.6","68500","A","","","0"
"2012","Atlantic provinces","","Median market income","Married couples","Dollars","81","units ","0","v92045002","2.8.7","62200","B","","","0"
"2012","Atlantic provinces","","Median market income","Two-parent families with children","Dollars","81","units ","0","v92045003","2.8.11","84500","B","","","0"
